T13,Gross domestic product and gross domestic product per capita,,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
17,Middle Africa,2022,GDP in current prices (millions of US dollars),"286,840",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
17,Middle Africa,2023,GDP in current prices (millions of US dollars),"276,392",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
17,Middle Africa,1995,GDP per capita (US dollars),436,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
17,Middle Africa,2005,GDP per capita (US dollars),874,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
17,Middle Africa,2010,GDP per capita (US dollars),"1,407",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
17,Middle Africa,2015,GDP per capita (US dollars),"1,517",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
17,Middle Africa,2020,GDP per capita (US dollars),"1,038",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
17,Middle Africa,2022,GDP per capita (US dollars),"1,436",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
17,Middle Africa,2023,GDP per capita (US dollars),"1,341",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
17,Middle Africa,1995,GDP in constant 2015 prices (millions of US dollars),"85,661",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
