T13,Gross domestic product and gross domestic product per capita,,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
478,Mauritania,2005,GDP per capita (US dollars),999,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
478,Mauritania,2010,GDP per capita (US dollars),"1,660",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
478,Mauritania,2015,GDP per capita (US dollars),"1,555",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
478,Mauritania,2020,GDP per capita (US dollars),"1,796",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
478,Mauritania,2022,GDP per capita (US dollars),"1,960",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
478,Mauritania,2023,GDP per capita (US dollars),"2,121",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
478,Mauritania,1995,GDP in constant 2015 prices (millions of US dollars),"3,139",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
478,Mauritania,2005,GDP in constant 2015 prices (millions of US dollars),"4,169",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
478,Mauritania,2010,GDP in constant 2015 prices (millions of US dollars),"4,951",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
478,Mauritania,2015,GDP in constant 2015 prices (millions of US dollars),"6,167",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
478,Mauritania,2020,GDP in constant 2015 prices (millions of US dollars),"7,145",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
478,Mauritania,2022,GDP in constant 2015 prices (millions of US dollars),"7,688",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
478,Mauritania,2023,GDP in constant 2015 prices (millions of US dollars),"8,188",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
478,Mauritania,1995,GDP real rates of growth (percent),-2.4,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
478,Mauritania,2005,GDP real rates of growth (percent),8.6,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
478,Mauritania,2010,GDP real rates of growth (percent),2.6,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
478,Mauritania,2015,GDP real rates of growth (percent),5.4,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
478,Mauritania,2020,GDP real rates of growth (percent),-0.4,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
478,Mauritania,2022,GDP real rates of growth (percent),6.8,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
478,Mauritania,2023,GDP real rates of growth (percent),6.5,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
480,Mauritius,1995,GDP in current prices (millions of US dollars),"4,273",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
480,Mauritius,2005,GDP in current prices (millions of US dollars),"6,775",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
480,Mauritius,2010,GDP in current prices (millions of US dollars),"10,004",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
480,Mauritius,2015,GDP in current prices (millions of US dollars),"12,007",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
480,Mauritius,2020,GDP in current prices (millions of US dollars),"11,408",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
480,Mauritius,2022,GDP in current prices (millions of US dollars),"12,928",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
480,Mauritius,2023,GDP in current prices (millions of US dollars),"14,397",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
480,Mauritius,1995,GDP per capita (US dollars),"3,684",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
480,Mauritius,2005,GDP per capita (US dollars),"5,389",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
480,Mauritius,2010,GDP per capita (US dollars),"7,799",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
480,Mauritius,2015,GDP per capita (US dollars),"9,292",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
480,Mauritius,2020,GDP per capita (US dollars),"8,890",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
480,Mauritius,2022,GDP per capita (US dollars),"10,131",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
480,Mauritius,2023,GDP per capita (US dollars),"11,304",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
480,Mauritius,1995,GDP in constant 2015 prices (millions of US dollars),"5,070",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
480,Mauritius,2005,GDP in constant 2015 prices (millions of US dollars),"7,845",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
480,Mauritius,2010,GDP in constant 2015 prices (millions of US dollars),"9,885",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
480,Mauritius,2015,GDP in constant 2015 prices (millions of US dollars),"12,007",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
480,Mauritius,2020,GDP in constant 2015 prices (millions of US dollars),"11,851",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
480,Mauritius,2022,GDP in constant 2015 prices (millions of US dollars),"13,343",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
480,Mauritius,2023,GDP in constant 2015 prices (millions of US dollars),"14,270",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
480,Mauritius,1995,GDP real rates of growth (percent),4.4,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
480,Mauritius,2005,GDP real rates of growth (percent),1.8,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
480,Mauritius,2010,GDP real rates of growth (percent),4.4,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
480,Mauritius,2015,GDP real rates of growth (percent),3.7,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
480,Mauritius,2020,GDP real rates of growth (percent),-14.5,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
480,Mauritius,2022,GDP real rates of growth (percent),8.9,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
480,Mauritius,2023,GDP real rates of growth (percent),7,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
484,Mexico,1995,GDP in current prices (millions of US dollars),"380,157",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
484,Mexico,2005,GDP in current prices (millions of US dollars),"917,572",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
484,Mexico,2010,GDP in current prices (millions of US dollars),"1,105,424",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
484,Mexico,2015,GDP in current prices (millions of US dollars),"1,213,294",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
484,Mexico,2020,GDP in current prices (millions of US dollars),"1,121,065",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
484,Mexico,2022,GDP in current prices (millions of US dollars),"1,466,465",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
484,Mexico,2023,GDP in current prices (millions of US dollars),"1,793,799",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
484,Mexico,1995,GDP per capita (US dollars),"4,184",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
484,Mexico,2005,GDP per capita (US dollars),"8,672",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
484,Mexico,2010,GDP per capita (US dollars),"9,729",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
484,Mexico,2015,GDP per capita (US dollars),"10,021",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
484,Mexico,2020,GDP per capita (US dollars),"8,841",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
484,Mexico,2022,GDP per capita (US dollars),"11,402",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
484,Mexico,2023,GDP per capita (US dollars),"13,826",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
484,Mexico,1995,GDP in constant 2015 prices (millions of US dollars),"724,232",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
484,Mexico,2005,GDP in constant 2015 prices (millions of US dollars),"1,004,312",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
484,Mexico,2010,GDP in constant 2015 prices (millions of US dollars),"1,066,822",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
484,Mexico,2015,GDP in constant 2015 prices (millions of US dollars),"1,213,294",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
484,Mexico,2020,GDP in constant 2015 prices (millions of US dollars),"1,170,944",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
484,Mexico,2022,GDP in constant 2015 prices (millions of US dollars),"1,287,850",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
484,Mexico,2023,GDP in constant 2015 prices (millions of US dollars),"1,330,290",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
484,Mexico,1995,GDP real rates of growth (percent),-5.9,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
484,Mexico,2005,GDP real rates of growth (percent),2.1,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
484,Mexico,2010,GDP real rates of growth (percent),5,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
484,Mexico,2015,GDP real rates of growth (percent),2.7,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
484,Mexico,2020,GDP real rates of growth (percent),-8.4,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
484,Mexico,2022,GDP real rates of growth (percent),3.7,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
484,Mexico,2023,GDP real rates of growth (percent),3.3,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
583,Micronesia (Fed. States of),1995,GDP in current prices (millions of US dollars),222,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
583,Micronesia (Fed. States of),2005,GDP in current prices (millions of US dollars),251,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
583,Micronesia (Fed. States of),2010,GDP in current prices (millions of US dollars),297,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
583,Micronesia (Fed. States of),2015,GDP in current prices (millions of US dollars),316,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
583,Micronesia (Fed. States of),2020,GDP in current prices (millions of US dollars),372,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
583,Micronesia (Fed. States of),2022,GDP in current prices (millions of US dollars),430,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
583,Micronesia (Fed. States of),2023,GDP in current prices (millions of US dollars),460,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
583,Micronesia (Fed. States of),1995,GDP per capita (US dollars),"2,013",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
583,Micronesia (Fed. States of),2005,GDP per capita (US dollars),"2,250",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
583,Micronesia (Fed. States of),2010,GDP per capita (US dollars),"2,761",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
583,Micronesia (Fed. States of),2015,GDP per capita (US dollars),"2,911",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
583,Micronesia (Fed. States of),2020,GDP per capita (US dollars),"3,354",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
583,Micronesia (Fed. States of),2022,GDP per capita (US dollars),"3,835",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
583,Micronesia (Fed. States of),2023,GDP per capita (US dollars),"4,084",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
583,Micronesia (Fed. States of),1995,GDP in constant 2015 prices (millions of US dollars),313,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
583,Micronesia (Fed. States of),2005,GDP in constant 2015 prices (millions of US dollars),321,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
583,Micronesia (Fed. States of),2010,GDP in constant 2015 prices (millions of US dollars),317,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
583,Micronesia (Fed. States of),2015,GDP in constant 2015 prices (millions of US dollars),316,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
583,Micronesia (Fed. States of),2020,GDP in constant 2015 prices (millions of US dollars),327,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
583,Micronesia (Fed. States of),2022,GDP in constant 2015 prices (millions of US dollars),334,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
583,Micronesia (Fed. States of),2023,GDP in constant 2015 prices (millions of US dollars),336,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
583,Micronesia (Fed. States of),1995,GDP real rates of growth (percent),4.2,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
583,Micronesia (Fed. States of),2005,GDP real rates of growth (percent),2.1,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
583,Micronesia (Fed. States of),2010,GDP real rates of growth (percent),2.3,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
583,Micronesia (Fed. States of),2015,GDP real rates of growth (percent),4.6,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
583,Micronesia (Fed. States of),2020,GDP real rates of growth (percent),-2,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
583,Micronesia (Fed. States of),2022,GDP real rates of growth (percent),-0.8,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
583,Micronesia (Fed. States of),2023,GDP real rates of growth (percent),0.8,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
492,Monaco,1995,GDP in current prices (millions of US dollars),"3,064",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
492,Monaco,2005,GDP in current prices (millions of US dollars),"4,205",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
492,Monaco,2010,GDP in current prices (millions of US dollars),"5,368",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
492,Monaco,2015,GDP in current prices (millions of US dollars),"6,265",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
492,Monaco,2020,GDP in current prices (millions of US dollars),"6,731",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
492,Monaco,2022,GDP in current prices (millions of US dollars),"8,800",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
492,Monaco,2023,GDP in current prices (millions of US dollars),"9,995",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
492,Monaco,1995,GDP per capita (US dollars),"96,937",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
492,Monaco,2005,GDP per capita (US dollars),"130,539",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
492,Monaco,2010,GDP per capita (US dollars),"161,855",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
492,Monaco,2015,GDP per capita (US dollars),"170,437",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
492,Monaco,2020,GDP per capita (US dollars),"176,892",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
492,Monaco,2022,GDP per capita (US dollars),"226,052",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
492,Monaco,2023,GDP per capita (US dollars),"256,581",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
492,Monaco,1995,GDP in constant 2015 prices (millions of US dollars),"3,418",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
492,Monaco,2005,GDP in constant 2015 prices (millions of US dollars),"4,293",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
492,Monaco,2010,GDP in constant 2015 prices (millions of US dollars),"4,703",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
492,Monaco,2015,GDP in constant 2015 prices (millions of US dollars),"6,265",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
492,Monaco,2020,GDP in constant 2015 prices (millions of US dollars),"6,136",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
492,Monaco,2022,GDP in constant 2015 prices (millions of US dollars),"8,329",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
492,Monaco,2023,GDP in constant 2015 prices (millions of US dollars),"8,749",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
492,Monaco,1995,GDP real rates of growth (percent),2.1,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
492,Monaco,2005,GDP real rates of growth (percent),1.7,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
492,Monaco,2010,GDP real rates of growth (percent),2.1,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
492,Monaco,2015,GDP real rates of growth (percent),4.9,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
492,Monaco,2020,GDP real rates of growth (percent),-13.2,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
492,Monaco,2022,GDP real rates of growth (percent),11,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
492,Monaco,2023,GDP real rates of growth (percent),5,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
496,Mongolia,1995,GDP in current prices (millions of US dollars),"1,721",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
496,Mongolia,2005,GDP in current prices (millions of US dollars),"2,926",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
496,Mongolia,2010,GDP in current prices (millions of US dollars),"7,189",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
496,Mongolia,2015,GDP in current prices (millions of US dollars),"11,620",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
496,Mongolia,2020,GDP in current prices (millions of US dollars),"13,313",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
496,Mongolia,2022,GDP in current prices (millions of US dollars),"17,146",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
496,Mongolia,2023,GDP in current prices (millions of US dollars),"19,872",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
496,Mongolia,1995,GDP per capita (US dollars),737,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
496,Mongolia,2005,GDP per capita (US dollars),"1,141",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
496,Mongolia,2010,GDP per capita (US dollars),"2,661",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
496,Mongolia,2015,GDP per capita (US dollars),"3,904",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
496,Mongolia,2020,GDP per capita (US dollars),"4,046",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
496,Mongolia,2022,GDP per capita (US dollars),"5,064",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
496,Mongolia,2023,GDP per capita (US dollars),"5,790",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
496,Mongolia,1995,GDP in constant 2015 prices (millions of US dollars),"3,373",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
496,Mongolia,2005,GDP in constant 2015 prices (millions of US dollars),"5,284",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
496,Mongolia,2010,GDP in constant 2015 prices (millions of US dollars),"7,232",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
496,Mongolia,2015,GDP in constant 2015 prices (millions of US dollars),"11,620",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
496,Mongolia,2020,GDP in constant 2015 prices (millions of US dollars),"13,529",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
496,Mongolia,2022,GDP in constant 2015 prices (millions of US dollars),"14,442",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
496,Mongolia,2023,GDP in constant 2015 prices (millions of US dollars),"15,456",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
496,Mongolia,1995,GDP real rates of growth (percent),6.4,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
496,Mongolia,2005,GDP real rates of growth (percent),7.3,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
496,Mongolia,2010,GDP real rates of growth (percent),6.4,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
496,Mongolia,2015,GDP real rates of growth (percent),1.3,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
496,Mongolia,2020,GDP real rates of growth (percent),-4.6,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
496,Mongolia,2022,GDP real rates of growth (percent),5,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
496,Mongolia,2023,GDP real rates of growth (percent),7,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
